,sender,date,message,links
0,349502443,2023-02-21 15:56:16+00:00,"Всем привет 👋 
Какое же крутое мероприятие намечается, давайте заранее знакомиться, чтобы при встрече можно было продуктивнее провести время",[]
1,183235680,2023-02-21 16:13:09+00:00,"Всем привет.

Лечу к вам из Orlando FL

Пару слов о себе:

1. Меня зовут Дмитрий Кротов. 
2. Живу в 7 лет в США. У меня компания по разработке и продвижению сайтов. Активно внедряем АI в бизнес-процессы себе и нашим заказчикам. 
3. Развиваюсь и держу в балансе все сферы жизни (бизнес, саморазвитие, путешествия, спорт, яркие эмоции, внутренний мир и духовное развитие)
4. Владельцам бизнеса могу подсказать, как сделать ваш сайт быстрее и эффективнее, поднять позиции в Google и увеличить продажи. Ну и на более глубоки темы тоже можем пообщаться )

Мой Instagram:
https://www.instagram.com/dmitry.orlando",['https://www.instagram.com/dmitry.orlando']
2,807897585,2023-02-21 17:59:21+00:00,"Всем привет, 

О себе: 
1. Меня зовут Мария, я из ЛА 
2. Живу в США 11 лет. Работаю агентом по недвижимости последние 8 лет в ЛА + делаю классы для риэлторов
4. По образованию маркетолог. Образование получала в Сан Франциско и соответственно очень много не только теоретических о и практических знаний в маркетинге

Мой инстаграм: https://www.instagram.com/mariya__la",['https://www.instagram.com/mariya__la']
3,1390931619,2023-02-21 18:07:49+00:00,"Про себя текстом по заданному формату 

1 Руслан Гафаров 
2 основатель SAN FRANCISCO INNOVATION HUB 
Инфраструктура для предпринимателей, которая помогает внедрять инновационные технологии в бизнес, менять мышление, инвестировать в венчурные сделки 
3 я быстро учусь, менял сферу деятельности координально несколько раз 
Работал в угро, жэу, банке. С 2010 года занимаюсь бизнесом. В бизнесе тоже были не кольцо пивотов. Думаю, что мне помогает делать это мое отношение к жизни. Я воспринимаю все хорошее и плохое, как уроки. 
Создал канал 50к подписчиков на ютубе, 200к в инсте, с 2010 года нашими клиентами стали 400 к человек. 
До переезда в США мы были лидерами в организации конференций в странах снг, вели наш бизнес в 40 городах 8 странах

Сейчас мы лидеры в русскоговорящем пространстве в организации образовательных программ в долине

Через нашу программу в долине прошло более 700 участников 

4 последние несколько лет погружаюсь в разные интересные опыты, что бы  трансформировать мышление 

В прошлом году прошел випассану, айаваску и ездил на бернинг мен. Что помогло мне поменять отношение к некоторым вещам и научиться медитировать. 

Медитирую 2 часа в день

Буду рад поделиться опытом, кому это интересно

Еще я написал несколько книг о культуре и буду рад поделиться своими наблюдениями и инструментами менеджмента

Сейчас прохожу несколько программ в стенфорде 

По венчурным инвестициям и менеджменту. Здесь тоже могу поделиться как нетворкингом, так и какими то инсайтами

Мой инст - https://instagram.com/malikone?igshid=MjkzY2Y1YTY=",['https://instagram.com/malikone?igshid=MjkzY2Y1YTY=']
4,85904995,2023-02-21 20:02:51+00:00,"Всем привет 👋 

1. Меня зовут Артем Донцов 

2. Я занимаюсь несколькими видами бизнеса. В первую очередь, я специализируюсь на автомобильной отрасли и предоставлении услуг по ремонту и продаже автомобилей и запчастей. Кроме того, я разрабатываю собственные IT-решения для автоматизации бизнес-процессов и управления своей компанией. Я также вкладываю свои средства в инвестиции и недвижимость.

3. Я горжусь своими достижениями в здоровом образе жизни и спорте. Я смог завершить полный IRONMAN 226, покорить Эльбрус, а также прошел курс випассаны. Кроме того, я являюсь пилотом малой авиации.

 4. Я могу быть полезен для других участников мероприятия в нескольких областях:

Во-первых, я могу помочь им в оптимизации бизнес-процессов, используя свой опыт в создании собственных IT-решений и ERP. 

Во-вторых, я могу поделиться своим опытом и знаниями в инвестировании и недвижимости, чтобы помочь другим людям сделать осознанные финансовые решения. 

В-третьих, я могу рассказать о своем опыте удаленного управления бизнесом и дать советы по организации удаленной работы. 

В-четвертых я могу поделиться своими знаниями и опытом в области автомобилей, автозапчастей и услуг по ремонту. 

Я очень ценю возможность общаться с крутыми и успешными людьми, такими как вы, и надеюсь, что мы сможем обменяться опытом и идеями. 

Благодарю организаторов этого мероприятия за эту возможность! 
До встречи 👋 на мероприятии.",[]
5,248156528,2023-02-21 22:42:06+00:00,"Чтобы представиться здесь я по приколу спросила ChatGPT, кто такая Ксения Плетнер. И вот что он ответил 🤩😎🔥👻

Надеюсь, это предсказание из будущего, и что нейросетка просто уже что-то знает)))

Переехала в Долину полгода назад. Начинаю свой путь в США.

За плечами:
- 10 лет в корпорациях (IBM и Microsoft)
- 5 лет работаю собой - спикер, коуч, advisory consultant 
- В базе клинический психолог, 3 года в психиатрии

✨Живу по мечте ✨

И сопровождаю свободных людей на Пути к их мечтам.

Веду индивидуальные и групповые трансформационные процессы. Среди моих клиентов мощные и влиятельные люди уровня Senior VP крупнейших корпораций по всему миру. 

Помогаю лидерам, командам и организациям преодолевать внутренние барьеры на пути реализации их максимального масштаба и потенциала. Этим и могу быть полезна тем, кто уже многого добился, многое создал, но чувствует, что хочет и готов ещё больше. 

Ищу птиц своей стаи. Или свой лес из Секвой. Больших людей с большими мечтами. Или просто по-буддистски «друзей на Пути» 🤗",[]
6,172562290,2023-02-21 23:02:43+00:00,"Всем привет !
Меня зовут Игорь.

Последние 3 года живу в США. Сменили 3 штата, и создали самое большое сообщество предпринимателей в Америке также создали классные проекты на Американском рынке: 
 
1️⃣ Grand Business Event (GBE'21,  GBE’22) - это самые масштабные слеты для собственников бизнеса в США.  Более 500 собственников бизнеса, 35+ экспертов и спикеров, более $10 млрд. суммарный оборот участников. Уже совсем скоро анансируем еще более масштабное GBE’23.

2️⃣ Force Бизнес Экосистема - Это сообщество в котором объединяются сильнейшие предпринимателей рынка , которые меняю индустрии, и создают лучшие продукты на рынке.

3️⃣  SkillEd - это станет самая большая и эфективная школа по запуску и масштабированию бизнеса в США. Этот проект очень необходим сейчас для наших предпринимателей.

4️⃣ Также запускали проекты по строительству домов в Пенсильвании, оптовую продажу окон, проекты в бьюти-сфере и еще несколько в других нишах.

Что касаеться опыта в Украине

 Собственник группы компаний Limik International. В Украине команда составляет 300+ высокопрофессиональных  сотрудников. Компания более 7 лет становилась лидером года по национальному бизнес-рейтингу.   

В Украине всего 3 основных направления: 

 
1️⃣ Энергетика. Мы инвестируем в высокотехнологичные, ультрасовременные электрические подстанции и предоставляем электроэнергию клиентам.

2️⃣Возобновляемая энергетика. Компания активно инвестирует в возобновляемую энергетику, а также в высокотехнологичные, ультрасовременные электрические подстанции. Один из последних реализованных проектов – производство тепловой энергии на возобновляемых источниках с весом котла - 130 тонн.

3️⃣ Комплексное обслуживание международных компаний. Наши клиенты - Danon, PepsiCo, Mondelez, Nestle, Jacobs, Imperial Tobacco и другие компании с мировыми именами. Специфика: электротехническое, вентиляционное, газовое обслуживание, аммиачные установки, очистные сооружения, монтаж производственных линий и строительство пром. объектов.

https://instagram.com/igor_lon?igshid=YmMyMTA2M2Y=

Рад буду со всеми познакомится. 🤝",['https://instagram.com/igor_lon?igshid=YmMyMTA2M2Y=']
7,506409411,2023-02-21 23:51:27+00:00,"Всем привет!👋🏻

Я- Вахтанг Тужба-
Основатель венчурной стартап-студии Foundarium 

Мой инстаграм:
Instagram

Количество сотрудников: 100+

Наши проекты: 
– Tapper 
– MyJo 

СМИ о нас:
– Forbes
– RBC",[]
8,840094813,2023-02-22 01:21:02+00:00,"Всех приветствую. 

Анна Донцова , с Москвы , 4 месяца как живу в Сан Франциско - сооснователь сети продуктовых магазинов , успешно переведённых в арендный бизнес . 

Последние три года , занимаюсь коучингом и психологией . Консультирую предпринимателей . Провожу мастермайнды , участники с разных уголков планеты достигают свои цели , в группе единомышленников . 

Консалтинг в открытии офлайн бизнесов , открывала продуктовые магазины в Башкирии и в Москве от покупки помещения до открытия и сопровождения . 

Люблю путешествовать, посетила 39 стран . Занимаюсь фридайвингом и осваиваю яхтинг , осуществила свою мечту и поцеловала серого кита в прошлом году в Мексике . 

Могу поделиться как собрать  и провести   мастермайнд с людьми , которые будут помогать вам генерить идеи и достигать цели намного быстрее . 

Рада знакомству и общению на вечеринке . Спасибо организаторам за масштаб спикеров и возможность учавствовать в нетворкинге с замечательными людьми .",[]
9,209745959,2023-02-22 06:54:19+00:00,"Друзья, всем привет! 

Меня зовут Alex Leschinsky, живу в Bay Area. 

Я Founder и CEO в компании effectiff. Мы уже 16 лет занимаемся лингвистикой, NLP, локализацией, переводами. Помогаем бизнесу и государству быть мультиязычными и общаться со своими клиентами на 200 языках. 

Буду рад познакомиться со всеми на ивенте 👋😄",[]
